"CityID","DescriptionE","DescriptionF","ProvinceStateID","CountryID","LastUpdate"
1,Waterloo,Waterloo,9,1,"2004-09-15 12:35:03"
2,Waterford,Waterford,9,1,"2004-09-15 12:51:02"
3,Brampton,Brampton,9,1,"2004-09-15 12:51:06"
4,Mississauga,Mississauga,9,1,"2004-09-15 12:51:07"
5,Freelton,Freelton,9,1,"2004-09-15 12:51:08"
6,Markham,Markham,9,1,"2004-09-15 12:51:09"
7,Burlington,Burlington,9,1,"2004-09-15 12:51:10"
8,Toronto,Toronto,9,1,"2004-09-15 12:51:11"
9,Guelph,Guelph,9,1,"2004-09-15 12:51:11"
10,St-Jean-Richelieu,St-Jean-Richelieu,11,1,"2004-09-15 12:51:12"
11,Pickering,Pickering,9,1,"2004-09-15 12:51:13"
12,London,London,9,1,"2004-09-15 12:51:14"
13,Ajax,Ajax,9,1,"2004-09-15 12:51:15"
14,Don Mills,Don Mills,9,1,"2004-09-15 12:51:32"
15,St-Eustache,St-Eustache,11,1,"2004-09-15 12:51:33"
16,St. Laurent,St. Laurent,11,1,"2004-09-15 12:53:29"
17,Montréal-Nord,Montréal-Nord,11,1,"2004-09-15 12:53:32"
18,Ile Perrot,Ile Perrot,11,1,"2004-09-15 12:53:33"
19,Rimouski,Rimouski,11,1,"2004-09-15 12:53:34"
20,St-Laurent,St-Laurent,11,1,"2004-09-15 12:53:36"
21,Laval,Laval,11,1,"2004-09-15 12:53:37"
22,Mercier,Mercier,11,1,"2004-09-15 12:53:38"
23,Auteuil,Auteuil,11,1,"2004-09-15 12:53:39"
25,Burnaby,Burnaby,2,1,"2004-09-15 12:56:21"
26,Maple Ridge,Maple Ridge,2,1,"2004-09-15 12:57:22"
27,Delta,Delta,2,1,"2004-09-15 12:57:24"
28,Langley,Langley,2,1,"2004-09-15 12:57:24"
29,Vancouver,Vancouver,2,1,"2004-09-15 12:57:26"
30,Atlanta,Atlanta,25,2,"2004-09-15 12:57:28"
31,Edmonton,Edmonton,1,1,"2004-09-15 12:58:28"
32,Calgary,Calgary,1,1,"2004-09-15 12:58:46"
33,Winnipeg,Winnipeg,3,1,"2004-09-15 12:58:48"
34,Halifax,Halifax,6,1,"2004-09-15 12:59:47"
35,Cornerbrook,Cornerbrook,5,1,"2004-09-15 13:00:02"
36,Frazer,Frazer,40,2,"2004-09-15 13:00:24"
37,Pittsburgh,Pittsburgh,40,2,"2004-09-15 13:03:14"
38,"Head of Chezzetcook, Halifax County","Head of Chezzetcook, Halifax County",6,1,"2004-09-15 22:56:23"
58,"St-Ludger, Beauce","St-Ludger, Beauce",11,1,"2005-09-26 10:31:31"
59,Peterborough,Peterborough,9,1,"2005-09-26 10:34:48"
60,Montreal,Montréal,11,1,"2005-09-26 10:38:30"
61,St. Damien,St. Damien,11,1,"2005-09-26 10:44:33"
62,St-Clet,St-Clet,11,1,"2005-09-26 11:01:02"
63,Dorval,Dorval,11,1,"2005-09-26 11:04:31"
64,Shawinigan-Sud,Shawinigan-Sud,11,1,"2005-09-26 11:12:21"
66,"Ste-Clotilde, Beauce,","Ste-Clotilde, Beauce,",11,1,"2005-09-26 11:20:57"
67,Marieville,Marieville,11,1,"2005-09-26 11:28:20"
68,Henderson,Henderson,20,2,"2005-09-26 11:52:20"
71,Ottawa,Ottawa,9,1,"2005-09-27 14:43:28"
72,Meriden,Meriden,30,2,"2005-09-27 15:06:54"
73,Bamber Bridae,Bamber Bridae,,5,"2005-09-27 15:58:20"
74,Wood Dale,Wood Dale,28,2,"2005-09-27 16:56:12"
75,E. Orange,E. Orange,55,2,"2005-09-27 17:41:57"
76,Rexdale,Rexdale,9,1,"2005-09-27 18:39:04"
77,Union,Union,50,2,"2005-09-27 18:50:12"
78,Longueuil,Longueuil,11,1,"2005-09-27 19:23:35"
79,Magog,Magog,11,1,"2005-09-27 19:45:26"
80,Vernon,Vernon,2,1,"2005-09-28 23:57:54"
81,Rawdon,Rawdon,11,1,"2005-09-29 00:02:50"
82,Brandon,Brandon,3,1,"2005-09-29 00:05:32"
83,Agincourt,Agincourt,9,1,"2005-09-29 00:46:39"
84,Alma,Alma,11,1,"2005-09-29 00:48:53"
85,Amherst,Amherst,6,1,"2005-09-29 00:49:34"
86,Amherstburg,Amherstburg,9,1,"2005-09-29 00:50:07"
87,Ancaster,Ancaster,9,1,"2005-09-29 00:50:17"
88,Anjou,Anjou,11,1,"2005-09-29 00:50:42"
89,Aurora,Aurora,9,1,"2005-09-29 00:50:52"
90,Baie Comeau,Baie Comeau,11,1,"2005-09-29 00:51:31"
91,Baie D'Urfe,Baie D'Urfe,11,1,"2005-09-29 00:51:43"
92,Barrie,Barrie,9,1,"2005-09-29 00:52:24"
93,Bedford,Bedford,6,1,"2005-09-29 00:53:00"
94,Belleville,Belleville,9,1,"2005-09-29 00:53:26"
95,Bobcaygeon,Bobcaygeon,11,1,"2005-09-29 00:53:43"
96,Bolton,Bolton,9,1,"2005-09-29 00:54:03"
97,Boucherville,Boucherville,11,1,"2005-09-29 00:54:23"
98,Bradford,Bradford,9,1,"2005-09-29 00:54:32"
99,Bramalea,Bramalea,9,1,"2005-09-29 00:54:52"
100,Brantford,Brantford,9,1,"2005-09-29 00:55:18"
101,Brockville,Brockville,9,1,"2005-09-29 00:55:48"
103,Caledon,Caledon,9,1,"2005-09-29 00:56:38"
104,Cambridge,Cambridge,9,1,"2005-09-29 00:57:00"
105,Candiac,Candiac,11,1,"2005-09-29 00:57:10"
106,Cap-de-la-Madeleine,Cap-de-la-Madeleine,11,1,"2005-09-29 00:57:20"
107,Chicoutimi,Chicoutimi,11,1,"2005-09-29 00:57:37"
108,Cobourg,Cobourg,9,1,"2005-09-29 00:57:54"
109,Collingwood,Collingwood,9,1,"2005-09-29 00:58:21"
110,Concord,Concord,9,1,"2005-09-29 00:58:37"
111,Coquitlam,Coquitlam,2,1,"2005-09-29 00:58:58"
113,Cornwall,Cornwall,9,1,"2005-09-29 00:59:22"
114,Dartmouth,Dartmouth,6,1,"2005-09-29 00:59:42"
115,Delhi,Delhi,9,1,"2005-09-29 00:59:57"
116,Dollard-des-Ormeaux,Dollard-des-Ormeaux,11,1,"2005-09-29 01:00:13"
119,Douglas,Douglas,4,1,"2005-09-29 01:00:59"
120,Downsview,Downsview,9,1,"2005-09-29 01:01:20"
121,Drummondville,Drummondville,11,1,"2005-09-29 01:01:30"
122,Dundas,Dundas,9,1,"2005-09-29 01:01:46"
123,Durham Sud,Durham Sud,11,1,"2005-09-29 01:01:54"
124,Emeryville,Emeryville,9,1,"2005-09-29 01:02:09"
125,Etobicoke,Etobicoke,9,1,"2005-09-29 01:02:30"
126,Faberville,Faberville,11,1,"2005-09-29 01:02:44"
127,Fergus,Fergus,9,1,"2005-09-29 01:02:54"
