"CompanyID","NameE","NameF","LanguageID","CityID","PostalCode","LastUpdate"
A493,Altivity Packaging Canada Company,Altivity Packaging Canada Company,E,3,L6W 3G5,"2007-11-27 14:05:01"
A494,Atlas Copco Compressors Canada,Atlas Copco Compressors Canada,E,116,H9B 3J9,"2007-08-09 11:13:57"
A498,"Arch Chemicals Canada, Inc.","Arch Chemicals Canada, Inc.",E,8,M5K 1E6,"2009-02-24 09:48:36"
A506,"ASeven Packaging, Inc.","ASeven Packaging, Inc.",E,111,V3K 6X2,"2007-11-30 16:03:43"
A508,"Aquatherm CA, Inc.","Aquatherm CA, Inc.",E,1126,T0K 0K0,"2008-02-29 08:48:51"
A510,API Industries / Base Plastics,API Industries / Base Plastics,E,1150,"10962","2008-06-11 08:55:04"
A511,"Alert Packaging, Ltd.","Alert Packaging, Ltd.",E,1501,,"2015-05-26 11:40:50"
A514,Technologies Aquavex Inc.,Technologies Aquavex Inc.,E,187,H9R 4S2,"2008-03-07 13:58:55"
A515,APP All Remove Canada Inc.,APP All Remove Canada Inc.,E,595,N3B 1C9,"2008-12-29 10:31:58"
A516,Amfil Technologies Inc.,Amfil Technologies Inc.,E,12,N6L 1E4,"2008-10-17 10:41:24"
A518,Agrisan SC Pharma,Agrisan SC Pharma,E,1140,N0G 1A0,"2008-04-25 09:41:00"
A523,Ascona Ingredients Ltd.,Ascona Ingredients Ltd.,E,4,L5L 5R3,"2008-05-15 13:11:14"
A526,Atwood Dairy,Atwood Dairy,E,1170,N0G 1B0,"2008-10-03 10:54:35"
A528,Aspen Air U.S. Corporation,Aspen Air U.S. Corporation,E,1162,"59101","2008-07-24 13:52:52"
A531,Air Water Earth Incorporated,Air Water Earth Incorporated,E,589,L1N 9A5,"2009-01-26 12:36:00"
A533,"Advanced Barrier Extrusions, LLC (ABX)","Advanced Barrier Extrusions, LLC (ABX)",E,619,"54501","2010-11-10 09:23:17"
A534,Anchor Plastics Ltd.,Les Plastiques Anchor Ltée,E,1190,J5W 1Z1,"2009-02-17 12:20:42"
A535,"Asbury Carbons, Inc.","Asbury Carbons, Inc.",E,1235,"08802","2009-09-09 12:28:24"
A536,"American Profol, Inc.","American Profol, Inc.",E,1221,"52404","2009-07-10 10:17:59"
A537,Advanced Lamp Coatings,Advanced Lamp Coatings,E,1180,"11779","2008-12-05 14:50:04"
A538,ASC Solutions Corporation,ASC Solutions Corporation,E,60,H1E 4G4,"2008-11-28 14:48:28"
A540,Allou Industries Inc.,Allou Industries Inc.,E,723,N7L 4T2,"2009-10-07 13:34:13"
A546,Atlantic Cool Paks,Atlantic Cool Paks,E,129,E3A 1C8,"2009-02-17 12:29:18"
A547,ApHa Distribution Inc.,ApHa Distribution Inc.,E,170,T9E 0H1,"2010-02-15 10:43:23"
A551,APLIX Fasteners Inc.,APLIX Fasteners Inc.,E,1284,L0R 1B4,"2010-08-05 12:28:49"
A554,Atlantic Coated Papers Ltd.,Atlantic Coated Papers Ltd.,E,208,M1P 2Y9,"2010-05-17 12:07:03"
A555,ATS Packaging S.r.l.,ATS Packaging S.r.l.,E,1285,"30035","2010-08-13 13:03:47"
A560,Ayeon Enterprise Inc.,Ayeon Enterprise Inc.,E,196,V6V 2M3,"2011-10-05 13:48:35"
A564,Al-Pack Enterprises Limited,Al-Pack Enterprises Limited,E,164,E1H 0A5,"2010-06-30 14:46:20"
A565,Adfast Manufacturing Inc.,Adfast Manufacturing Inc.,E,16,H4S 1G1,"2009-07-22 08:53:57"
A569,Ammex Corporation,Ammex Corporation,E,775,"98188","2009-11-09 13:50:12"
A570,Agrisac,Agrisac,E,1306,J0L 1W0,"2010-12-08 10:16:34"
A572,Advantage Chemical Coatings,Advantage Chemical Coatings,E,258,"85260","2010-01-26 10:01:42"
A573,AK-West Inc.,AK-West Inc.,E,32,T2C 3C6,"2011-08-23 10:19:14"
A578,Altopro S.A. de C.V.,Altopro S.A. de C.V.,E,1373,"09860","2011-12-09 11:13:36"
A579,"Alufoil Products Co., Inc.","Alufoil Products Co., Inc.",E,1269,"11788","2010-05-14 15:36:36"
A580,Advacoat,Advacoat,E,258,"85260","2010-06-04 08:41:35"
A583,"Alkota™ Cleaning Systems, Inc., Detergents Division (aka. Hydrus Detergents)","Alkota™ Cleaning Systems, Inc., Detergents Division (aka. Hydrus Detergents)",E,1276,"51342","2010-06-01 13:01:09"
A584,Advance Laboratories Limited,Advance Laboratories Limited,E,1323,B0J 1N0,"2011-02-23 12:06:36"
A586,Absolute Kleentek,Absolute Kleentek,E,161,L9T 4W8,"2010-06-03 11:55:19"
