"CountryID","DescriptionE","DescriptionF","LastUpdate"
1,Canada,Canada,"2004-09-15 09:15:17"
2,United States,États Unis,"2004-09-15 09:15:21"
5,England,Angleterre,"2005-09-27 15:57:17"
6,Scotland,Écosse,"2005-09-30 00:56:16"
7,Malaysia,Malaysia,"2005-10-04 14:07:05"
8,New Zealand,Nouvelle-Zélande,"2005-10-12 00:21:04"
9,Belgium,Belgium,"2005-11-07 15:52:26"
10,Germany,Allemagne,"2005-11-20 20:04:39"
11,France,France,"2005-11-28 01:01:27"
12,China,China,"2005-11-28 13:02:50"
13,Korea,Korea,"2005-11-28 13:33:38"
14,Holland,Holland,"2005-12-09 12:40:56"
15,Denmark,Denmark,"2005-12-19 12:39:23"
16,South Africa,South Africa,"2005-12-21 10:42:01"
18,The Netherlands,The Netherlands,"2006-01-11 09:52:10"
19,Japan,Japan,"2006-01-20 12:21:00"
20,Spain,Spain,"2006-02-02 09:46:22"
21,Finland,Finland,"2006-02-13 07:47:31"
22,Mexico,Mexico,"2006-02-13 14:48:56"
23,Italy,Italy,"2006-02-16 15:34:57"
24,Brazil,Brazil,"2006-02-16 16:13:07"
25,Switzerland,Switzerland,"2006-02-17 11:18:17"
26,Israel,Israel,"2006-02-28 09:34:47"
27,Austria,Austria,"2006-02-28 14:15:04"
28,Sweden,Sweden,"2006-03-03 09:24:35"
29,Argentina,Argentina,"2006-03-06 12:28:08"
30,Liechtenstein,Liechtenstein,"2006-03-07 10:23:17"
31,Ukraine,Ukraine,"2006-03-08 15:54:54"
32,Greece,Greece,"2006-04-20 11:30:28"
33,Idaho,Idaho,"2007-02-13 09:07:48"
34,Sri Lanka,Sri Lanka,"2007-05-17 07:26:03"
35,Portugal,Portugal,"2007-06-07 14:33:43"
36,Tokyo,Tokyo,"2007-06-26 11:25:16"
37,D.N. Menashe,D.N. Menashe,"2007-08-30 14:00:04"
38,Poland,Poland,"2007-09-26 14:52:26"
39,Norway,Norway,"2008-02-26 14:45:48"
40,Thailand,Thailand,"2009-03-16 14:46:38"
41,Chile,Chile,"2009-09-24 12:53:14"
42,Australia,Australia,"2009-10-09 13:52:03"
43,Sultanate of Oman,Sultanate of Oman,"2010-01-22 12:33:49"
44,Monaco,Monaco,"2010-03-08 10:58:09"
45,India,India,"2010-03-09 10:05:27"
46,Turkey,Turkey,"2010-04-19 10:25:39"
47,Colombia,Colombia,"2010-09-24 09:56:51"
48,United Kingdom,United Kingdom,"2011-01-13 13:07:31"
49,Ireland,Ireland,"2011-09-09 13:59:53"
50,United Arab Emirates,United Arab Emirates,"2011-09-12 15:18:46"
51,Taiwan,Taiwan,"2011-10-21 14:01:19"
52,Faroe Islands,Faroe Islands,"2012-03-07 08:42:31"
53,Czech Republic,Czech Republic,"2012-11-26 14:16:32"
54,Perù,Perù,"2013-03-20 11:16:43"
