"ProvinceStateID","ProvinceStateCode","DescriptionE","DescriptionF","CountryID","LastUpdate"
1,AB,Alberta,Alberta,1,"2004-09-15 12:09:45"
2,BC,British Columbia,Colombie Britanique,1,"2004-09-15 12:09:53"
3,MB,Manitoba,Manitoba,1,"2004-09-15 12:09:55"
4,NB,New Brunswick,Nouveau Brunswick,1,"2004-09-15 12:09:59"
5,NL,Newfoundland,Terre Neuve,1,"2004-09-15 12:10:00"
6,NS,Nova Scotia,Nouvelle Écosse,1,"2004-09-15 12:10:01"
7,NT,Northwest Territories,Territoires du Nord-Ouest,1,"2004-09-15 12:10:02"
8,NU,Nunavet,Nunavet,1,"2004-09-15 12:10:04"
9,ON,Ontario,Ontario,1,"2004-09-15 12:10:05"
10,PE,Prince Edward Island,Ile du prince Edward,1,"2004-09-15 12:10:07"
11,QC,Quebec,Québec,1,"2004-09-15 12:10:08"
12,SK,Saskatchewan,Saskatchewan,1,"2004-09-15 12:13:59"
13,YT,Yukon,Yukon,1,"2004-09-15 12:14:09"
14,AK,Alaska,Alaska,2,"2004-09-15 12:14:18"
15,AL,Alabama,Alabama,2,"2004-09-15 12:20:53"
16,AR,Arkansas,Arkansas,2,"2004-09-15 12:20:57"
17,AZ,Arizona,Arizona,2,"2004-09-15 12:21:00"
19,CA,California,California,2,"2004-09-15 12:21:02"
20,CO,Colorado,Colorado,2,"2004-09-15 12:21:03"
21,CT,Connecticut,Connecticut,2,"2004-09-15 12:21:04"
22,DC,District of Columbia,District of Columbia,2,"2004-09-15 12:21:05"
23,DE,Delaware,Delaware,2,"2004-09-15 12:21:06"
24,FL,Florida,Florida,2,"2004-09-15 12:21:07"
25,GA,Georgia,Georgia,2,"2004-09-15 12:21:08"
26,HI,Hawaii,Hawaii,2,"2004-09-15 12:23:12"
27,IA,Iowa,Iowa,2,"2004-09-15 12:23:18"
28,IL,Illinois,Illinois,2,"2004-09-15 12:23:20"
29,IN,Indiana,Indiana,2,"2004-09-15 12:23:58"
30,KS,Kansas,Kansas,2,"2004-09-15 12:24:01"
31,KY,Kentucky,Kentucky,2,"2004-09-15 12:24:02"
32,LA,Louisiana,Louisiana,2,"2004-09-15 12:24:03"
33,ME,Maine,Maine,2,"2004-09-15 12:24:04"
35,MD,Maryland,Maryland,2,"2004-09-15 12:24:10"
40,PA,Pensylvania,Pensylvania,2,"2004-09-15 13:01:47"
45,ID,Idaho,Idaho,2,"2005-09-25 23:22:06"
46,MI,Michigan,Michigan,2,"2005-09-26 00:40:33"
47,MN,Minnesota,Minnesota,2,"2005-09-26 00:42:47"
48,MS,Mississippi,Mississippi,2,"2005-09-26 00:43:28"
49,MA,Massachusetts,Massachusetts,2,"2005-09-26 01:05:48"
50,MO,Missouri,Missouri,2,"2005-09-26 01:07:03"
51,MT,Montana,Montana,2,"2005-09-26 01:07:30"
52,NE,Nebraska,Nebraska,2,"2005-09-26 01:07:47"
53,NV,Nevada,Nevada,2,"2005-09-26 01:08:03"
54,NH,New Hampshire,New Hampshire,2,"2005-09-26 01:09:35"
55,NJ,New Jersey,New Jersey,2,"2005-09-26 01:10:41"
56,NM,New Mexico,New Mexico,2,"2005-09-26 01:11:04"
57,NY,New York,État de New York,2,"2005-09-26 01:11:55"
58,NC,North Carolina,Caroline du Nord,2,"2005-09-26 01:13:00"
59,ND,North Dakota,Dakota du Nord,2,"2005-09-26 01:14:18"
60,OH,Ohio,Ohio,2,"2005-09-26 01:14:40"
61,OK,Oklahoma,Oklahoma,2,"2005-09-26 01:14:52"
62,OR,Oregon,Oregon,2,"2005-09-26 01:15:46"
63,RI,Rhode Island,Rhode Island,2,"2005-09-26 01:16:36"
64,SC,South Carolina,Caroline du Sud,2,"2005-09-26 01:17:08"
65,SD,South Dakota,Dakota du Sud,2,"2005-09-26 01:17:38"
66,TN,Tennesse,Tennesse,2,"2005-09-26 01:18:02"
67,TX,Texas,Texas,2,"2005-09-26 01:18:31"
68,UT,Utah,Utah,2,"2005-09-26 01:19:33"
69,VT,Vermont,Vermont,2,"2005-09-26 01:19:53"
70,VA,Virginia,Virginie,2,"2005-09-26 01:20:19"
71,WA,Washington,Washington,2,"2005-09-26 01:20:41"
72,WV,West Virginia,Virginie-Occidentale,2,"2005-09-26 01:21:14"
73,WI,Wisconsin,Wisconsin,2,"2005-09-26 01:21:32"
74,WY,Wyoming,Wyoming,2,"2005-09-26 01:21:45"
76,I189,Sãn Paulo,Sãn Paulo,24,"2007-05-09 13:42:26"
77,L205,Connecticut,Connecticut,2,"2007-05-10 08:33:58"
78,W127,Malwana,Malwana,34,"2007-05-17 07:26:43"
79,A387,Pennsylvania,Pennsylvania,2,"2007-05-17 09:28:04"
80,P522,D.N. Menashe,D.N. Menashe,26,"2007-08-30 14:01:21"
81,P539,Los Angeles,Los Angeles,2,"2007-09-04 15:16:50"
82,A370,Buckingham,Buckingham,5,"2007-09-19 11:40:15"
84,Mainh,Mainhausen,Mainhausen,10,"2008-03-19 08:18:30"
85,O088,Kagawa,Kagawa,19,"2008-04-08 09:32:47"
86,C664,Guangdong,Guangdong,12,"2008-05-29 09:17:56"
87,TOJP,Tokyo,Tokyo,19,"2008-10-08 11:47:21"
88,ES,East Sussex,East Sussex,5,"2009-03-12 13:12:49"
89,GRA,Graves,Graves,11,"2009-03-16 14:38:20"
90,BANGK,Bangkok,Bangkok,40,"2009-03-16 14:47:14"
91,JIANS,Jiansu P.R.,Jiansu P.R.,12,"2009-04-24 14:21:05"
