"XRefCompAcroID","CompanyID","AcronymID","LastUpdate"
3,A029,Ltd.,"2004-09-15 22:46:04"
4,A059,Enrg.,"2004-09-15 22:24:07"
5,A111,Ltd.,"2004-09-15 22:38:31"
6,A169,Ltd.,"2004-09-15 22:47:11"
7,A226,Ltd.,"2004-09-15 22:55:21"
8,A265,Inc.,"2004-09-15 22:07:28"
9,A303,Inc.,"2004-09-15 23:01:01"
10,A317,Inc.,"2004-09-15 23:01:25"
11,A326,Inc.,"2004-09-15 22:25:47"
12,A375,Inc.,"2004-09-15 22:43:06"
13,B227,Inc.,"2004-09-15 15:57:53"
15,E162,Inc.,"2004-09-15 15:58:01"
16,M299,Co.,"2004-09-15 22:05:10"
17,M299,Ltd.,"2004-09-15 22:05:27"
19,P313,Inc.,"2004-09-15 23:02:19"
20,S079,Inc.,"2004-09-15 15:58:09"
24,T164,Ltd.,"2004-09-15 22:05:53"
25,G106a,Ltd.,"2006-06-23 13:31:24"
