"PRODUCT CODE","PRODUCT NAME","FRENCH PRODUCT NAME","language","ACCEPTANCE DATE","COMPANY CODE","SUB_CAT"
A019-167,Xtreme – Liquid Drain Opener,Xtreme – Débouche-tuyaux liquide,E,"2015-01-06 00:00:00",A019,"8"
A019-168,ServiceLab Ready To Use Quaternary Sanitizer ,ServiceLab Assainisseur quaternaire prêt à utiliser,E,"2015-01-06 00:00:00",A019,"101"
A019-169,Speed Dry,Speed Dry,E,"2015-01-06 00:00:00",A019,"3"
A019-170,Foam Quat,Foam Quat,E,"2015-01-06 00:00:00",A019,"3"
A019-171,Foam Quat,Foam Quat,E,"2015-01-06 00:00:00",A019,"101"
A019-172,Magic,Magic,E,"2015-01-06 00:00:00",A019,"3"
A019-173,Red Wash,Red Wash,E,"2015-01-06 00:00:00",A019,"3"
A019-174,Concentrated Glass & Multi-Surface Cleaner,Concentrated Glass & Multi-Surface Cleaner,E,"2015-01-06 00:00:00",A019,"3"
A019-175,Automatic Dishwasher Liquid Detergent,Automatic Dishwasher Liquid Detergent,E,"2015-01-06 00:00:00",A019,"3"
A511-001,Chubb Packaging,Chubb Packaging,E,"2014-12-14 00:00:00",A511,"81"
A565-021,Adsheild PPU/A-0001,Adsheild PPU/A-0001,E,"2014-10-21 00:00:00",A565,"9"
A565-022,Adsheild PPU/A-0001,Adsheild PPU/A-0001,E,"2014-10-21 00:00:00",A565,"11"
A565-023,Adsheild PPU-AC/B-00XX,Adsheild PPU-AC/B-00XX,E,"2014-10-21 00:00:00",A565,"9"
A565-024,Adsheild PPU-AC/B-00XX,Adsheild PPU-AC/B-00XX,E,"2014-10-21 00:00:00",A565,"11"
A643-029,Germicide,Germicide,E,"2015-01-05 00:00:00",A643,"3"
A643-030,Germicide,Germicide,E,"2015-01-05 00:00:00",A643,"53"
A643-031,Cleaner/Degreaser/Disinfectant,Cleaner/Degreaser/Disinfectant,E,"2015-01-05 00:00:00",A643,"3"
A643-032,Cleaner/Degreaser/Disinfectant,Cleaner/Degreaser/Disinfectant,E,"2015-01-05 00:00:00",A643,"53"
A643-033,Grill Cleaner,Grill Cleaner,E,"2015-01-05 00:00:00",A643,"3"
A643-034,Grill Cleaner,Grill Cleaner,E,"2015-01-05 00:00:00",A643,"53"
A643-035,Dish Soap,Dish Soap,E,"2015-01-05 00:00:00",A643,"3"
A643-036,Dish Soap,Dish Soap,E,"2015-01-05 00:00:00",A643,"53"
A643-037,Orange Degreaser,Orange Degreaser,E,"2015-01-05 00:00:00",A643,"3"
A643-038,Orange Degreaser,Orange Degreaser,E,"2015-01-05 00:00:00",A643,"53"
A643-039,Neutral Cleaner,Neutral Cleaner,E,"2015-01-05 00:00:00",A643,"3"
A643-040,Neutral Cleaner,Neutral Cleaner,E,"2015-01-05 00:00:00",A643,"53"
A643-041,Medium Duty Disinfectant,Medium Duty Disinfectant,E,"2015-01-05 00:00:00",A643,"3"
A643-042,Medium Duty Disinfectant,Medium Duty Disinfectant,E,"2015-01-05 00:00:00",A643,"53"
